role,favorites,voice_actors,character.mal_id,character.url,character.images.jpg.image_url,character.images.webp.image_url,character.images.webp.small_image_url,character.name
Main,5980,"[{'person': {'mal_id': 20156, 'url': 'https://myanimelist.net/people/20156/Kaito_Ishikawa', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/73776.jpg?s=cd6c229e835d6273a2e5eaf6c9a8f7e0'}}, 'name': 'Ishikawa, Kaito'}, 'language': 'Japanese'}, {'person': {'mal_id': 6868, 'url': 'https://myanimelist.net/people/6868/Flavio_Aquilone', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/22297.jpg?s=693786cc6e77d7add37141a0499012b5'}}, 'name': 'Aquilone, Flavio'}, 'language': 'Italian'}, {'person': {'mal_id': 39444, 'url': 'https://myanimelist.net/people/39444/Enric_Puig', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/42308.jpg?s=9a439319f5e39727ce969ca74428a5ca'}}, 'name': 'Puig, Enric'}, 'language': 'Spanish'}, {'person': {'mal_id': 38280, 'url': 'https://myanimelist.net/people/38280/Zach_Aguilar', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/58323.jpg?s=208fff557f824ae307f81a9473c94bd9'}}, 'name': 'Aguilar, Zach'}, 'language': 'English'}, {'person': {'mal_id': 26523, 'url': 'https://myanimelist.net/people/26523/Bastien_Bourlé', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/70600.jpg?s=c1359648329616f379d12b5c13a41b5c'}}, 'name': 'Bourlé, Bastien'}, 'language': 'French'}, {'person': {'mal_id': 6124, 'url': 'https://myanimelist.net/people/6124/Nico_Sablik', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/33223.jpg?s=f34e2b62dcd92e5bd8ffd820e6e19f09'}}, 'name': 'Sablik, Nico'}, 'language': 'German'}, {'person': {'mal_id': 34839, 'url': 'https://myanimelist.net/people/34839/Michel_Di_Fiori', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/67557.jpg?s=d8c241f28c3e17b5aca077483b1bd4b8'}}, 'name': 'Di Fiori, Michel'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 26951, 'url': 'https://myanimelist.net/people/26951/Jhonny_Torres', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/32563.jpg?s=a6d997cd1483e21f27eb3c0a3287f041'}}, 'name': 'Torres, Jhonny'}, 'language': 'Spanish'}]",73979,https://myanimelist.net/character/73979/Genos,https://cdn.myanimelist.net/images/characters/9/297329.jpg?s=1dd6cf2edbb45d8bd1e654541226901d,https://cdn.myanimelist.net/images/characters/9/297329.webp?s=1dd6cf2edbb45d8bd1e654541226901d,https://cdn.myanimelist.net/images/characters/9/297329t.webp?s=1dd6cf2edbb45d8bd1e654541226901d,Genos
Main,48132,"[{'person': {'mal_id': 17635, 'url': 'https://myanimelist.net/people/17635/Makoto_Furukawa', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/74503.jpg?s=32feef499daea673ae4a3406b09dca18'}}, 'name': 'Furukawa, Makoto'}, 'language': 'Japanese'}, {'person': {'mal_id': 39849, 'url': 'https://myanimelist.net/people/39849/Alessandro_Campaiola', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/42906.jpg?s=d74d2f383b1902d6418b09e416242fc6'}}, 'name': 'Campaiola, Alessandro'}, 'language': 'Italian'}, {'person': {'mal_id': 31535, 'url': 'https://myanimelist.net/people/31535/Darío_Torrent', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/31215.jpg?s=4fc0aab5cfc7a531987e7c594da31b2e'}}, 'name': 'Torrent, Darío'}, 'language': 'Spanish'}, {'person': {'mal_id': 35635, 'url': 'https://myanimelist.net/people/35635/Max_Mittelman', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/42916.jpg?s=8c7402cb4d6a625c3b41a2e63c6189f5'}}, 'name': 'Mittelman, Max'}, 'language': 'English'}, {'person': {'mal_id': 31835, 'url': 'https://myanimelist.net/people/31835/Fabian_Oscar_Wien', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/32915.jpg?s=94dd82bc0f9ad4d9f25c7b38bf179377'}}, 'name': 'Wien, Fabian Oscar'}, 'language': 'German'}, {'person': {'mal_id': 44737, 'url': 'https://myanimelist.net/people/44737/Aurélien_Cotentin', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/54261.jpg?s=aca65bee6f03b2b0839f175820c0ca1d'}}, 'name': 'Cotentin, Aurélien'}, 'language': 'French'}, {'person': {'mal_id': 11521, 'url': 'https://myanimelist.net/people/11521/Yuri_Chesman', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/64740.jpg?s=93a317325d77ac84ee15cfb502b15b48'}}, 'name': 'Chesman, Yuri'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 45654, 'url': 'https://myanimelist.net/people/45654/Víctor_Ruiz', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/66193.jpg?s=3374c4d0ef0fbcb56d4c47b3b0f988f2'}}, 'name': 'Ruiz, Víctor'}, 'language': 'Spanish'}, {'person': {'mal_id': 6499, 'url': 'https://myanimelist.net/people/6499/Yeong_Seon_Kim', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/3397.jpg?s=71b6163ba268592e939307c4e235beee'}}, 'name': 'Kim, Yeong Seon'}, 'language': 'Korean'}, {'person': {'mal_id': 89972, 'url': 'https://myanimelist.net/people/89972/Danny_Ho', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/86990.jpg?s=fda7d8e40986f0080162db9446de6774'}}, 'name': 'Ho, Danny'}, 'language': 'Mandarin'}]",73935,https://myanimelist.net/character/73935/Saitama,https://cdn.myanimelist.net/images/characters/11/294388.jpg?s=a56fc5484b23811f3308aad1dc7b8b2e,https://cdn.myanimelist.net/images/characters/11/294388.webp?s=a56fc5484b23811f3308aad1dc7b8b2e,https://cdn.myanimelist.net/images/characters/11/294388t.webp?s=a56fc5484b23811f3308aad1dc7b8b2e,Saitama
Supporting,2,"[{'person': {'mal_id': 29347, 'url': 'https://myanimelist.net/people/29347/Hiromichi_Tezuka', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/74494.jpg?s=88afa0f8abb371b9e2c484b3c578bbbc'}}, 'name': 'Tezuka, Hiromichi'}, 'language': 'Japanese'}, {'person': {'mal_id': 9587, 'url': 'https://myanimelist.net/people/9587/Bill_Rogers', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/7136.jpg?s=d05b84846f62f62a2d68cf3bfa67798e'}}, 'name': 'Rogers, Bill'}, 'language': 'English'}, {'person': {'mal_id': 43692, 'url': 'https://myanimelist.net/people/43692/Roberto_Garcia', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/68355.jpg?s=e26149a136416971b2700fc83fa157a0'}}, 'name': 'Garcia, Roberto'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 9166, 'url': 'https://myanimelist.net/people/9166/Rainer_Fritzsche', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/6821.jpg?s=f573b7db260690bc9276713d6ee44a5e'}}, 'name': 'Fritzsche, Rainer'}, 'language': 'German'}]",86049,https://myanimelist.net/character/86049/All_Back-Man,https://cdn.myanimelist.net/images/characters/10/295547.jpg?s=8cd20c7942e901e44f2a05d55c025ee9,https://cdn.myanimelist.net/images/characters/10/295547.webp?s=8cd20c7942e901e44f2a05d55c025ee9,https://cdn.myanimelist.net/images/characters/10/295547t.webp?s=8cd20c7942e901e44f2a05d55c025ee9,All Back-Man
Supporting,3,[],173362,https://myanimelist.net/character/173362/Armored_Chief_Clerk,https://cdn.myanimelist.net/images/characters/4/388327.jpg?s=4440d8187533bfc0992fe4918b4723d1,https://cdn.myanimelist.net/images/characters/4/388327.webp?s=4440d8187533bfc0992fe4918b4723d1,https://cdn.myanimelist.net/images/characters/4/388327t.webp?s=4440d8187533bfc0992fe4918b4723d1,Armored Chief Clerk
Supporting,16,"[{'person': {'mal_id': 20817, 'url': 'https://myanimelist.net/people/20817/Shouta_Yamamoto', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/55930.jpg?s=f945bc82be08b139aa6fe97585e7a4a0'}}, 'name': 'Yamamoto, Shouta'}, 'language': 'Japanese'}, {'person': {'mal_id': 8491, 'url': 'https://myanimelist.net/people/8491/Kaiji_Tang', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/80557.jpg?s=9d3c976552d057e1d913616c118983c6'}}, 'name': 'Tang, Kaiji'}, 'language': 'English'}, {'person': {'mal_id': 41397, 'url': 'https://myanimelist.net/people/41397/Giuliano_Bonetto', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/43269.jpg?s=3701186f5ec9480ea4dfa478e0daa9cd'}}, 'name': 'Bonetto, Giuliano'}, 'language': 'Italian'}, {'person': {'mal_id': 1667, 'url': 'https://myanimelist.net/people/1667/Tilo_Schmitz', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/40173.jpg?s=aaa91a86cf6309f2800e3c7de12bf289'}}, 'name': 'Schmitz, Tilo'}, 'language': 'German'}, {'person': {'mal_id': 25651, 'url': 'https://myanimelist.net/people/25651/Marcelo_Pissardini', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/64737.jpg?s=c0461c0a834ba255992d706b4d393dac'}}, 'name': 'Pissardini, Marcelo'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 9868, 'url': 'https://myanimelist.net/people/9868/Frédéric_Souterelle', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/80206.jpg?s=5901bd7c288cca4d75509586cced82e8'}}, 'name': 'Souterelle, Frédéric'}, 'language': 'French'}, {'person': {'mal_id': 45979, 'url': 'https://myanimelist.net/people/45979/Rafael_Ordóñez_Arrieta', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/50123.jpg?s=ae7e985fe639dbfe815c12abcf802cd7'}}, 'name': 'Ordóñez Arrieta, Rafael'}, 'language': 'Spanish'}, {'person': {'mal_id': 89972, 'url': 'https://myanimelist.net/people/89972/Danny_Ho', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/86990.jpg?s=fda7d8e40986f0080162db9446de6774'}}, 'name': 'Ho, Danny'}, 'language': 'Mandarin'}]",85983,https://myanimelist.net/character/85983/Armored_Gorilla,https://cdn.myanimelist.net/images/characters/9/294840.jpg?s=914e660bc2c3d1f558ab17a019ff5d9c,https://cdn.myanimelist.net/images/characters/9/294840.webp?s=914e660bc2c3d1f558ab17a019ff5d9c,https://cdn.myanimelist.net/images/characters/9/294840t.webp?s=914e660bc2c3d1f558ab17a019ff5d9c,Armored Gorilla
Supporting,60,"[{'person': {'mal_id': 591, 'url': 'https://myanimelist.net/people/591/Kenjirou_Tsuda', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/63379.jpg?s=d67ae5e0053e31921f856e1a2b259c0e'}}, 'name': 'Tsuda, Kenjirou'}, 'language': 'Japanese'}, {'person': {'mal_id': 336, 'url': 'https://myanimelist.net/people/336/Kyle_Hebert', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/38702.jpg?s=4787dbfdcce1b482a18261660cb67956'}}, 'name': 'Hebert, Kyle'}, 'language': 'English'}, {'person': {'mal_id': 9237, 'url': 'https://myanimelist.net/people/9237/Yann_Pichon', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/72205.jpg?s=52b32da68c447ebcf1f67176431b1f54'}}, 'name': 'Pichon, Yann'}, 'language': 'French'}, {'person': {'mal_id': 42987, 'url': 'https://myanimelist.net/people/42987/Riccardo_Scarafoni', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/46484.jpg?s=c4b1b0924837ae89da944b1f3c2df174'}}, 'name': 'Scarafoni, Riccardo'}, 'language': 'Italian'}, {'person': {'mal_id': 11530, 'url': 'https://myanimelist.net/people/11530/Alexandre_Marconato', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/72227.jpg?s=ae88b806be8cdb25ebb81dcaa796fa3a'}}, 'name': 'Marconato, Alexandre'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 45974, 'url': 'https://myanimelist.net/people/45974/Germán_Gijón_Del_Valle', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/questionmark_23.gif?s=f7dcbc4a4603d18356d3dfef8abd655c'}}, 'name': 'Gijón Del Valle, Germán'}, 'language': 'Spanish'}, {'person': {'mal_id': 31351, 'url': 'https://myanimelist.net/people/31351/Sven_Gerhardt', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/32503.jpg?s=2e7d5323ea9db27f19ce747c1a728504'}}, 'name': 'Gerhardt, Sven'}, 'language': 'German'}, {'person': {'mal_id': 73762, 'url': 'https://myanimelist.net/people/73762/Antonio_Gálvez', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/80047.jpg?s=d74974699916175709be63137bd996e3'}}, 'name': 'Gálvez, Antonio'}, 'language': 'Spanish'}, {'person': {'mal_id': 89972, 'url': 'https://myanimelist.net/people/89972/Danny_Ho', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/86990.jpg?s=fda7d8e40986f0080162db9446de6774'}}, 'name': 'Ho, Danny'}, 'language': 'Mandarin'}, {'person': {'mal_id': 14821, 'url': 'https://myanimelist.net/people/14821/Han_Choi', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/15481.jpg?s=9282ac08c5f2b1a021a17e6bf192441f'}}, 'name': 'Choi, Han'}, 'language': 'Korean'}]",127453,https://myanimelist.net/character/127453/Atomic_Samurai,https://cdn.myanimelist.net/images/characters/7/296431.jpg?s=cfa2df2f41a128a0cb8f2cb98da32194,https://cdn.myanimelist.net/images/characters/7/296431.webp?s=cfa2df2f41a128a0cb8f2cb98da32194,https://cdn.myanimelist.net/images/characters/7/296431t.webp?s=cfa2df2f41a128a0cb8f2cb98da32194,Atomic Samurai
Supporting,308,"[{'person': {'mal_id': 6755, 'url': 'https://myanimelist.net/people/6755/Kazuhiro_Yamaji', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/62790.jpg?s=08fb6675496541c6b1f30f00d31a8e7e'}}, 'name': 'Yamaji, Kazuhiro'}, 'language': 'Japanese'}, {'person': {'mal_id': 956, 'url': 'https://myanimelist.net/people/956/John_DeMita', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/41723.jpg?s=97ea2087cd6b2340d1b8fb506836912f'}}, 'name': 'DeMita, John'}, 'language': 'English'}, {'person': {'mal_id': 26387, 'url': 'https://myanimelist.net/people/26387/Marc_Bretonnière', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/71268.jpg?s=405c21fe4d7ae302eab353f32540dbda'}}, 'name': 'Bretonnière, Marc'}, 'language': 'French'}, {'person': {'mal_id': 42984, 'url': 'https://myanimelist.net/people/42984/Saverio_Moriones', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/46483.jpg?s=775282ee2f474a98a11fcde06c940bba'}}, 'name': 'Moriones, Saverio'}, 'language': 'Italian'}, {'person': {'mal_id': 14487, 'url': 'https://myanimelist.net/people/14487/Carlos_Campanile', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/40745.jpg?s=591ba292d84ec5e9d7d1b5596f3a6668'}}, 'name': 'Campanile, Carlos'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 45971, 'url': 'https://myanimelist.net/people/45971/Sergio_Capelo', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/84582.jpg?s=8dedfa8aac6e596939a1184f51230852'}}, 'name': 'Capelo, Sergio'}, 'language': 'Spanish'}, {'person': {'mal_id': 45041, 'url': 'https://myanimelist.net/people/45041/Elmar_Gutmann', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/48405.jpg?s=1c556d061fe70aefe09129da42ea04a6'}}, 'name': 'Gutmann, Elmar'}, 'language': 'German'}, {'person': {'mal_id': 62144, 'url': 'https://myanimelist.net/people/62144/Pedro_DAguillón_Jr', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/73320.jpg?s=e9e8c067f50d9774341575b1565278e9'}}, 'name': ""D'Aguillón Jr., Pedro""}, 'language': 'Spanish'}, {'person': {'mal_id': 89972, 'url': 'https://myanimelist.net/people/89972/Danny_Ho', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/86990.jpg?s=fda7d8e40986f0080162db9446de6774'}}, 'name': 'Ho, Danny'}, 'language': 'Mandarin'}]",81141,https://myanimelist.net/character/81141/Bang,https://cdn.myanimelist.net/images/characters/2/492973.jpg?s=15c64fa6b5bb2b6f7eb680ea7febc551,https://cdn.myanimelist.net/images/characters/2/492973.webp?s=15c64fa6b5bb2b6f7eb680ea7febc551,https://cdn.myanimelist.net/images/characters/2/492973t.webp?s=15c64fa6b5bb2b6f7eb680ea7febc551,Bang
Supporting,0,"[{'person': {'mal_id': 52891, 'url': 'https://myanimelist.net/people/52891/Pierre_Bittencourt', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/70502.jpg?s=13a93b82a03b2bb93e6d26057d0533c9'}}, 'name': 'Bittencourt, Pierre'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 29347, 'url': 'https://myanimelist.net/people/29347/Hiromichi_Tezuka', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/74494.jpg?s=88afa0f8abb371b9e2c484b3c578bbbc'}}, 'name': 'Tezuka, Hiromichi'}, 'language': 'Japanese'}, {'person': {'mal_id': 57419, 'url': 'https://myanimelist.net/people/57419/Daniel_Lacy', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/73324.jpg?s=95b7adfc7da39c49961ddf117a4a5a65'}}, 'name': 'Lacy, Daniel'}, 'language': 'Spanish'}]",156758,https://myanimelist.net/character/156758/Battery_Man,https://cdn.myanimelist.net/images/characters/16/482015.jpg?s=f5220527e396e4e7e7fe2afa8457520e,https://cdn.myanimelist.net/images/characters/16/482015.webp?s=f5220527e396e4e7e7fe2afa8457520e,https://cdn.myanimelist.net/images/characters/16/482015t.webp?s=f5220527e396e4e7e7fe2afa8457520e,Battery Man
Supporting,3,"[{'person': {'mal_id': 20817, 'url': 'https://myanimelist.net/people/20817/Shouta_Yamamoto', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/55930.jpg?s=f945bc82be08b139aa6fe97585e7a4a0'}}, 'name': 'Yamamoto, Shouta'}, 'language': 'Japanese'}, {'person': {'mal_id': 1224, 'url': 'https://myanimelist.net/people/1224/Andrea_Ward', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/38816.jpg?s=307930972a3c64bbe79d38a74bfb181a'}}, 'name': 'Ward, Andrea'}, 'language': 'Italian'}, {'person': {'mal_id': 1418, 'url': 'https://myanimelist.net/people/1418/Marc_Diraison', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/38117.jpg?s=3eacf0c4663cbc5952c5f7a4597b4963'}}, 'name': 'Diraison, Marc'}, 'language': 'English'}, {'person': {'mal_id': 11695, 'url': 'https://myanimelist.net/people/11695/Fábio_Moura', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/80446.jpg?s=e0b4acc606a2a795d768758184454af4'}}, 'name': 'Moura, Fábio'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 8433, 'url': 'https://myanimelist.net/people/8433/Jaron_Löwenberg', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/5626.jpg?s=15706de2cebb789c5828a2bdc6900789'}}, 'name': 'Löwenberg, Jaron'}, 'language': 'German'}, {'person': {'mal_id': 24239, 'url': 'https://myanimelist.net/people/24239/Emmanuel_Gradi', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/67038.jpg?s=5c38d912f6660c2e102d3523104b5cea'}}, 'name': 'Gradi, Emmanuel'}, 'language': 'French'}]",134793,https://myanimelist.net/character/134793/Bearded_Worker,https://cdn.myanimelist.net/images/characters/11/296947.jpg?s=1af74ac144c98215fe6ad9ed6d72c146,https://cdn.myanimelist.net/images/characters/11/296947.webp?s=1af74ac144c98215fe6ad9ed6d72c146,https://cdn.myanimelist.net/images/characters/11/296947t.webp?s=1af74ac144c98215fe6ad9ed6d72c146,Bearded Worker
Supporting,1,"[{'person': {'mal_id': 7914, 'url': 'https://myanimelist.net/people/7914/Jirou_Saitou', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/54843.jpg?s=12693f5d58d1b6cb9979fa8152b3fd9f'}}, 'name': 'Saitou, Jirou'}, 'language': 'Japanese'}, {'person': {'mal_id': 1562, 'url': 'https://myanimelist.net/people/1562/Paul_St_Peter', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/41505.jpg?s=289f135ee5e594a44518cc704fde5843'}}, 'name': 'St. Peter, Paul'}, 'language': 'English'}, {'person': {'mal_id': 42462, 'url': 'https://myanimelist.net/people/42462/Stefano_Santerini', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/43272.jpg?s=956603b4d16edbbeae334e0274bdb9f7'}}, 'name': 'Santerini, Stefano'}, 'language': 'Italian'}, {'person': {'mal_id': 389, 'url': 'https://myanimelist.net/people/389/Klaus-Dieter_Klebsch', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/355.jpg?s=a47dea466ffc06e7667b8d00f7ed0073'}}, 'name': 'Klebsch, Klaus-Dieter'}, 'language': 'German'}, {'person': {'mal_id': 43647, 'url': 'https://myanimelist.net/people/43647/Marco_Antônio_Abreu', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/76584.jpg?s=6743a777fff90f9535442f984555fb09'}}, 'name': 'Abreu, Marco Antônio'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 26503, 'url': 'https://myanimelist.net/people/26503/Jérémy_Zylberberg', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/70622.jpg?s=63e70fd61c60c44705234ab2a0917b8c'}}, 'name': 'Zylberberg, Jérémy'}, 'language': 'French'}]",85985,https://myanimelist.net/character/85985/Beast_King,https://cdn.myanimelist.net/images/characters/10/294841.jpg?s=b34349dd8d1fd66ee42d4a027a86a226,https://cdn.myanimelist.net/images/characters/10/294841.webp?s=b34349dd8d1fd66ee42d4a027a86a226,https://cdn.myanimelist.net/images/characters/10/294841t.webp?s=b34349dd8d1fd66ee42d4a027a86a226,Beast King
Supporting,3,"[{'person': {'mal_id': 926, 'url': 'https://myanimelist.net/people/926/Youji_Ueda', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/56371.jpg?s=6d26b5c37d25e31c7b1336c9e6303c40'}}, 'name': 'Ueda, Youji'}, 'language': 'Japanese'}, {'person': {'mal_id': 15723, 'url': 'https://myanimelist.net/people/15723/Stefano_Onofri', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/17473.jpg?s=6d4d626423659786e940f598c97c30e0'}}, 'name': 'Onofri, Stefano'}, 'language': 'Italian'}, {'person': {'mal_id': 336, 'url': 'https://myanimelist.net/people/336/Kyle_Hebert', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/38702.jpg?s=4787dbfdcce1b482a18261660cb67956'}}, 'name': 'Hebert, Kyle'}, 'language': 'English'}, {'person': {'mal_id': 21199, 'url': 'https://myanimelist.net/people/21199/Felipe_Zilse', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/80258.jpg?s=59afcfa15633b6a2dfb2c62a0c74bb49'}}, 'name': 'Zilse, Felipe'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 16673, 'url': 'https://myanimelist.net/people/16673/Manuel_Campuzano', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/86309.jpg?s=5a323b8665bd862d208ef90f24cf9587'}}, 'name': 'Campuzano, Manuel'}, 'language': 'Spanish'}, {'person': {'mal_id': 31733, 'url': 'https://myanimelist.net/people/31733/Arne_Stephan', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/38720.jpg?s=c2089bec50a7d28b8057750c00694d35'}}, 'name': 'Stephan, Arne'}, 'language': 'German'}, {'person': {'mal_id': 9252, 'url': 'https://myanimelist.net/people/9252/Martial_Le_Minoux', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/66381.jpg?s=fe2435378d2b7549c761d4b0c205d558'}}, 'name': 'Le Minoux, Martial'}, 'language': 'French'}]",134794,https://myanimelist.net/character/134794/Bespectacled_Worker,https://cdn.myanimelist.net/images/characters/9/339735.jpg?s=65c9e4802f22dba1bd0e180c6bf5697f,https://cdn.myanimelist.net/images/characters/9/339735.webp?s=65c9e4802f22dba1bd0e180c6bf5697f,https://cdn.myanimelist.net/images/characters/9/339735t.webp?s=65c9e4802f22dba1bd0e180c6bf5697f,Bespectacled Worker
Supporting,1,"[{'person': {'mal_id': 30495, 'url': 'https://myanimelist.net/people/30495/Yoshiaki_Hasegawa', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/74225.jpg?s=d16ed9a2a52f0bd7cd4043f0eac86c77'}}, 'name': 'Hasegawa, Yoshiaki'}, 'language': 'Japanese'}, {'person': {'mal_id': 9252, 'url': 'https://myanimelist.net/people/9252/Martial_Le_Minoux', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/66381.jpg?s=fe2435378d2b7549c761d4b0c205d558'}}, 'name': 'Le Minoux, Martial'}, 'language': 'French'}, {'person': {'mal_id': 43714, 'url': 'https://myanimelist.net/people/43714/Márcio_Vaz', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/76509.jpg?s=a87303f43092516b0ea20e4bb018b86e'}}, 'name': 'Vaz, Márcio'}, 'language': 'Portuguese (BR)'}]",156757,https://myanimelist.net/character/156757/Blue_Fire,https://cdn.myanimelist.net/images/characters/7/403126.jpg?s=b9999272c047ed6c4c92d95c08a92df0,https://cdn.myanimelist.net/images/characters/7/403126.webp?s=b9999272c047ed6c4c92d95c08a92df0,https://cdn.myanimelist.net/images/characters/7/403126t.webp?s=b9999272c047ed6c4c92d95c08a92df0,Blue Fire
